,BibNumber,Category Group,checkout_date,checkout_month
4281646,3098898,Fiction,2016-02-05,2
2581349,2566348,Nonfiction,2016-03-26,3
2612604,3208109,Nonfiction,2016-12-20,12
5108536,2737702,Fiction,2016-06-26,6
3220757,2385246,Fiction,2016-07-14,7
5240403,2290865,Fiction,2016-11-09,11
2364490,3084252,Nonfiction,2016-07-18,7
6228322,2908543,Fiction,2016-10-20,10
1112330,2585197,Fiction,2016-09-23,9
4781754,3030791,Nonfiction,2016-07-11,7
3677020,3044062,Fiction,2016-01-28,1
2576627,2638558,Nonfiction,2016-02-18,2
2763112,2985879,Nonfiction,2016-03-15,3
2187224,2882066,Fiction,2016-08-15,8
2548718,3164865,Nonfiction,2016-04-09,4
1520007,2919175,Nonfiction,2016-03-17,3
3289131,3166852,Fiction,2016-10-22,10
5124068,1345193,Fiction,2016-02-03,2
1135485,2289399,Fiction,2016-05-18,5
5611426,2650868,Fiction,2016-05-05,5
4188573,2853487,Language,2016-08-08,8
5909685,3175966,Fiction,2016-12-04,12
2745896,2734799,Nonfiction,2016-04-25,4
3833897,3146612,Fiction,2016-05-11,5
2729925,2858379,Nonfiction,2016-01-14,1
5696058,2851177,Nonfiction,2016-12-30,12
4745723,2698336,Nonfiction,2016-08-31,8
2622250,2678182,Nonfiction,2016-07-18,7
3769536,2811747,Fiction,2016-07-07,7
3855200,3126825,Fiction,2016-02-23,2
2261176,1997287,Nonfiction,2016-02-10,2
5545371,3023018,Fiction,2016-11-25,11
1543066,3081854,Fiction,2016-05-31,5
3298303,3136993,Fiction,2016-02-12,2
1318615,3166744,Nonfiction,2016-05-16,5
3572997,3137081,Fiction,2016-02-09,2
3686868,3207430,Fiction,2016-12-11,12
1288348,1807581,Nonfiction,2016-12-21,12
2169664,2839402,Fiction,2016-07-02,7
5814737,3170826,Fiction,2016-07-15,7
1464249,2874279,Nonfiction,2016-04-04,4
5924359,2916476,Fiction,2016-06-08,6
5926032,3123645,Fiction,2016-06-02,6
1196285,3126431,Nonfiction,2016-11-06,11
5031403,3206566,Fiction,2016-12-01,12
3703927,2543863,Fiction,2016-08-18,8
2475538,2974450,Nonfiction,2016-04-09,4
1493963,2936050,Nonfiction,2016-04-24,4
3115002,1786713,Nonfiction,2016-09-03,9
1154650,2881036,Fiction,2016-05-09,5
1346507,3061978,Nonfiction,2016-04-23,4
5237791,2792364,Fiction,2016-09-19,9
6240351,3097202,Fiction,2016-02-09,2
1300646,2916080,Nonfiction,2016-03-30,3
5641672,2866997,Nonfiction,2016-07-18,7
1103367,3129671,Fiction,2016-04-03,4
4227760,3126731,Fiction,2016-01-15,1
2527792,3161944,Nonfiction,2016-04-23,4
2686546,3118929,Nonfiction,2016-08-06,8
2388752,3106813,Nonfiction,2016-01-11,1
3175645,2589750,Fiction,2016-09-30,9
2244656,3035168,Nonfiction,2016-08-17,8
6094592,1848868,Fiction,2016-02-21,2
2444047,3146184,Nonfiction,2016-04-09,4
6387773,3156904,Fiction,2016-04-20,4
5831837,2944056,Fiction,2016-09-06,9
1372549,3051139,Nonfiction,2016-08-18,8
4275975,3023580,Fiction,2016-01-06,1
1207408,2690968,Nonfiction,2016-03-20,3
5717184,85009,Fiction,2016-09-03,9
3588314,2926136,Fiction,2016-12-03,12
1290153,2687018,Nonfiction,2016-06-13,6
4379747,2472617,Fiction,2016-11-15,11
2696694,3004544,Nonfiction,2016-04-05,4
5280008,3141528,Fiction,2016-02-20,2
1179274,2904761,Fiction,2016-01-14,1
1379417,2314711,Nonfiction,2016-05-17,5
3249678,2404634,Fiction,2016-03-20,3
5607008,2686369,Fiction,2016-06-01,6
2732309,3113078,Nonfiction,2016-08-15,8
4217357,3123774,Fiction,2016-01-27,1
5639858,2571450,Nonfiction,2016-07-27,7
1429629,3037359,Nonfiction,2016-02-01,2
1125653,2873346,Fiction,2016-01-03,1
5571862,2462927,Fiction,2016-11-28,11
4542060,2960426,Fiction,2016-10-09,10
5651695,2619018,Nonfiction,2016-03-08,3
2179376,2325661,Fiction,2016-11-09,11
5560206,3099663,Fiction,2016-12-06,12
3095897,2478268,Nonfiction,2016-05-17,5
2543605,3141277,Nonfiction,2016-07-11,7
1418266,2706128,Nonfiction,2016-09-12,9
5703320,2298720,Nonfiction,2016-09-16,9
4234392,3101832,Fiction,2016-01-16,1
3081473,2412170,Nonfiction,2016-03-06,3
4298756,470799,Nonfiction,2016-05-06,5
2468594,2648781,Nonfiction,2016-10-13,10
2473106,2915849,Nonfiction,2016-07-20,7
5389743,3053104,Fiction,2016-09-06,9
1415070,3171877,Nonfiction,2016-12-30,12
5581390,3082371,Fiction,2016-09-28,9
2319119,3030520,Nonfiction,2016-02-06,2
1340723,3131794,Nonfiction,2016-05-24,5
1478473,2970625,Nonfiction,2016-01-30,1
1615603,2753390,Fiction,2016-06-23,6
5580523,3081574,Fiction,2016-09-10,9
3689297,3178726,Fiction,2016-06-13,6
3183009,2792600,Fiction,2016-06-04,6
5028547,3123952,Fiction,2016-01-24,1
4244265,3163525,Fiction,2016-06-03,6
5501996,2721246,Fiction,2016-06-19,6
1161760,3125736,Fiction,2016-07-13,7
2299931,3167002,Nonfiction,2016-09-06,9
5455484,3015043,Nonfiction,2016-12-08,12
3274217,2631341,Fiction,2016-03-08,3
4373972,2927626,Fiction,2016-10-24,10
2150941,3111508,Fiction,2016-06-20,6
1252364,3142455,Nonfiction,2016-11-07,11
1437318,2875413,Nonfiction,2016-07-21,7
3654007,3062044,Fiction,2016-10-03,10
5588148,2375900,Fiction,2016-02-13,2
6353526,2386813,Nonfiction,2016-05-27,5
4521797,3176874,Fiction,2016-09-01,9
4521267,3162229,Fiction,2016-06-27,6
1131771,3173062,Fiction,2016-09-22,9
6133331,2881730,Fiction,2016-05-11,5
2484508,2731762,Nonfiction,2016-11-19,11
5683437,3160099,Nonfiction,2016-11-10,11
2576138,2562692,Nonfiction,2016-08-13,8
4483543,3015122,Fiction,2016-10-20,10
5076617,3155109,Fiction,2016-04-21,4
3181541,2996252,Fiction,2016-01-24,1
5210236,2821598,Fiction,2016-01-20,1
1599082,3213428,Fiction,2016-12-29,12
2423694,3163414,Nonfiction,2016-12-22,12
5719547,2873563,Fiction,2016-02-08,2
2242525,2871766,Nonfiction,2016-03-26,3
2561651,3009304,Nonfiction,2016-03-19,3
